rooms, area, floor, year, bathrooms, kitchens, link, zone, price
1, 44, 6, 1988, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/gara/garsoniera-de-inchiriat-premier-grup-est-16v6t, Zona Gara, 260
4, 90, 2, 1983, 2, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/podu-ros/apartament-de-inchiriat-4-camere-premier-grup-est-16pri, Zona Podu Ros, 600
2, 62, 1, 1987, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/tatarasi/apartament-de-inchiriat-2-camere-premier-grup-est-16fsc, Zona Tatarasi, 300
2, 35, 0, 2016, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/tatarasi/apartament-de-inchiriat-2-camere-premier-grup-est-16ehm, Zona Tatarasi, 270
2, 57, 4, 2020, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/centrul-civic/apartament-de-inchiriat-2-camere-premier-grup-est-167rm, Zona Centrul Civic, 450
2, 50, 0, 1970, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/cantemir/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16z47, Zona Cantemir, 299
1, 42, 3, 1980, 1, 0, https://www.titirez.ro/inchirieri-garsoniere/iasi/iasi/garsoniera-de-inchiriat-tnt-imobiliare-iasi-16sit, Zona Iasi, 300
1, 58, 1, 1990, 1, 1, https://www.titirez.ro/inchirieri-garsoniere/iasi/gara/garsoniera-de-inchiriat-tnt-imobiliare-iasi-16rkh, Zona Gara, 300
2, 55, 1, 2011, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/tatarasi/apartament-de-inchiriat-2-camere-avant-imobiliare-16r09, Zona Tatarasi, 400
2, 55, 1, 2011, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/tatarasi/apartament-de-inchiriat-2-camere-avant-imobiliare-16pgn, Zona Tatarasi, 400
2, 60, 3, 1980, 1, 0, https://www.titirez.ro/inchirieri-apartamente/iasi/cug/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qqr, Zona CUG, 320
2, 55, 5, 1980, 2, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/pacurari/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qnx, Zona Pacurari, 300
3, 50, 6, 1985, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/zona-centrala/apartament-de-inchiriat-3-camere-tnt-imobiliare-iasi-16qmp, Zona Zona Centrala, 600
2, 50, 4, 2018, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qmi, Zona Copou, 430
2, 75, 6, 1985, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/zona-centrala/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qmb, Zona Zona Centrala, 475
1, 40, 2, 2017, 1, 1, https://www.titirez.ro/inchirieri-garsoniere/iasi/moara-de-vant/garsoniera-de-inchiriat-tnt-imobiliare-iasi-16qlr, , 300
2, 55, 5, 2018, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/podu-ros/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qli, Zona Podu Ros, 450
1, 40, 4, 1985, 1, 1, https://www.titirez.ro/inchirieri-garsoniere/iasi/tatarasi/garsoniera-de-inchiriat-tnt-imobiliare-iasi-16qk2, Zona Tatarasi, 250
2, 45, 9, 1985, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/zona-centrala/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qjz, Zona Zona Centrala, 300
2, 55, 0, 2014, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/cug/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qjt, Zona C, 280
2, 60, 4, 1985, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/gara/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qjq, Zona Gara, 350
2, 50, 3, 2015, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/baza-3/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16qbo, Zona Baza , 300
3, 80, 1, 1985, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/pacurari/apartament-de-inchiriat-3-camere-tnt-imobiliare-iasi-16qbk, Zona Pacurari, 370
2, 47, 3, 2015, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/tatarasi/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16q9d, Zona Tatarasi, 300
2, 50, 2, 2016, 1, 1, https://www.titirez.ro/inchirieri-apartamente/iasi/copou/apartament-de-inchiriat-2-camere-tnt-imobiliare-iasi-16pvb, Zona Copou, 350
1, 20, 4, 1985, 1, 1, https://www.titirez.ro/inchirieri-garsoniere/iasi/frumoasa/garsoniera-de-inchiriat-tnt-imobiliare-iasi-16ptz, Zona Frumoasa, 180
